E,x_min,x_max,<x>,Q2,A1p,A1p(stat),A1p(syst),g1p,g1p(stat),g1p(syst)
160.0,0.004,0.005,0.0046,1.1,0.006,0.017,0.008,0.133,0.389,0.183
160.0,0.005,0.006,0.0055,1.2,0.019,0.013,0.006,0.385,0.256,0.123
160.0,0.006,0.008,0.007,1.37,0.035,0.009,0.005,0.571,0.147,0.079
160.0,0.008,0.01,0.009,1.59,0.033,0.01,0.005,0.445,0.13,0.067
160.0,0.01,0.02,0.0147,2.14,0.047,0.006,0.004,0.427,0.052,0.036
160.0,0.02,0.03,0.0247,3.24,0.076,0.009,0.006,0.459,0.053,0.037
160.0,0.03,0.04,0.0346,4.36,0.115,0.012,0.009,0.525,0.054,0.041
160.0,0.04,0.06,0.0487,6.05,0.13,0.012,0.01,0.438,0.039,0.032
160.0,0.06,0.1,0.0765,9.42,0.172,0.013,0.012,0.383,0.028,0.026
160.0,0.1,0.15,0.122,14.9,0.218,0.017,0.015,0.303,0.024,0.021
160.0,0.15,0.2,0.172,20.9,0.286,0.024,0.02,0.268,0.023,0.019
160.0,0.2,0.25,0.222,26.7,0.446,0.032,0.03,0.298,0.022,0.02
160.0,0.25,0.35,0.29,34.6,0.453,0.033,0.032,0.196,0.014,0.013
160.0,0.35,0.5,0.405,47.1,0.594,0.049,0.043,0.12,0.01,0.008
160.0,0.5,0.7,0.568,62.1,0.855,0.094,0.068,0.048,0.005,0.004
